Pozyx - MultiTag,,,,,,Pozyx - Singletag,,
X,Y,Z,,,,X,Y,Z
1685,719,250,,,,1684,676,191
1681,696,276,,,,1734,683,140
1685,719,250,,,,1689,700,152
1709,747,202,,,,1751,693,234
1645,692,273,,,,1744,666,148
1714,712,186,,,,1714,670,169
1695,738,174,,,,1754,651,156
1676,726,141,,,,1701,655,141
1697,717,151,,,,1684,730,117
1692,693,188,,,,1723,753,121
1699,682,194,,,,1688,733,182
1671,745,134,,,,1681,728,115
1689,720,204,,,,1695,716,185
1663,709,162,,,,1744,691,121
1676,697,233,,,,1723,708,167
1721,707,239,,,,1715,696,142
1691,683,244,,,,1751,682,187
1676,697,233,,,,1737,694,117
1722,648,271,,,,1711,679,172
1726,674,289,,,,1716,677,176
1746,684,261,,,,1651,649,261
1722,710,306,,,,1718,676,113
1704,698,273,,,,1673,657,168
1702,679,196,,,,1740,692,233
1731,651,219,,,,1787,702,181
1668,661,245,,,,1748,679,176
1693,653,231,,,,1759,703,205
1675,680,221,,,,1716,683,194
1698,702,175,,,,1702,687,160
1726,702,152,,,,1672,691,182
1718,713,146,,,,1736,684,207
1684,715,166,,,,1711,714,188
1710,717,200,,,,1746,711,168
1697,668,293,,,,1710,717,154
1711,654,308,,,,1732,692,169
1687,667,230,,,,1770,714,174
1697,689,259,,,,1780,699,181
1693,664,237,,,,1748,716,201
1705,674,170,,,,1735,671,153
1694,689,162,,,,1694,685,165
1700,685,105,,,,1720,686,203
1587,639,6,,,,1763,668,192
1700,686,167,,,,1712,697,198
1724,716,217,,,,1731,736,132
1701,702,178,,,,1727,710,109
1696,679,219,,,,1731,736,132
1668,707,195,,,,1727,712,170
1685,695,278,,,,1727,735,131
1724,714,115,,,,1609,725,144
1675,708,166,,,,1699,689,119
1724,714,115,,,,1693,728,75
1719,713,114,,,,1682,743,67
1724,714,115,,,,1684,703,110
1701,702,140,,,,1757,740,165
1719,691,153,,,,1762,700,213
1738,724,144,,,,1768,724,172
1718,714,172,,,,1737,729,194
1675,732,184,,,,1728,703,231
1719,713,114,,,,1703,746,97
1730,675,161,,,,1748,728,86
1727,740,137,,,,1708,706,142
1671,707,162,,,,1747,729,148
1734,700,183,,,,1698,721,135
1700,734,211,,,,1745,672,169
1732,694,233,,,,1740,671,165
1753,678,253,,,,1635,630,-46
1732,694,233,,,,1729,687,222
1729,669,212,,,,1729,687,222
1709,729,219,,,,1690,681,203
1718,715,224,,,,1709,691,173
1679,672,320,,,,1652,658,200
1738,725,195,,,,1658,682,160
1720,679,272,,,,1682,654,177
1718,714,172,,,,1671,686,137
1713,689,211,,,,1667,662,176
1707,694,205,,,,1700,721,75
1680,694,228,,,,1694,699,173
1686,717,190,,,,1675,687,140
1714,723,232,,,,1720,712,226
1731,673,226,,,,1726,736,187
1755,709,218,,,,1741,721,140
1743,695,257,,,,1713,725,160
1774,656,280,,,,1722,711,168
1662,672,227,,,,1707,685,131
1676,680,207,,,,1701,723,86
1680,684,260,,,,1570,652,220
1687,701,236,,,,1692,698,120
1708,677,251,,,,1657,676,120
1744,734,187,,,,1667,720,157
1736,746,183,,,,1716,727,108
1716,735,211,,,,1730,713,117
1750,732,193,,,,1744,764,104
1690,728,232,,,,1701,717,138
1735,698,262,,,,1728,686,198
1727,672,235,,,,1725,689,323
1735,698,262,,,,1707,717,185
1740,723,222,,,,1732,688,203
1749,708,227,,,,1713,678,233
1723,679,187,,,,1678,742,122
1706,729,194,,,,1707,715,141
1730,703,149,,,,1669,717,158
1687,717,163,,,,1706,781,119
1682,693,200,,,,1723,726,172
1760,748,173,,,,1705,683,123
1708,740,160,,,,1661,700,137
1715,767,184,,,,1685,699,111
1708,740,160,,,,1686,672,153
1740,738,202,,,,1710,708,147
1698,708,231,,,,1642,666,268
1686,687,263,,,,1702,719,141
1698,707,170,,,,1697,694,118
1701,672,213,,,,1653,712,193
1709,721,196,,,,1682,708,170
1774,701,174,,,,1731,708,173
1794,689,190,,,,1728,672,214
1794,689,190,,,,1749,720,206
1797,714,211,,,,1747,683,246
1756,666,185,,,,1773,692,224
1700,653,249,,,,1737,674,227
1721,700,178,,,,1745,662,232
1678,678,233,,,,1724,687,154
1692,664,244,,,,1737,674,227
1692,664,244,,,,1810,693,215
1743,729,193,,,,1763,739,240
1672,732,163,,,,1665,707,293
1699,706,248,,,,1721,716,228
1724,741,178,,,,1697,679,174
1724,741,178,,,,1762,702,215
1678,685,139,,,,1699,700,124
1679,709,160,,,,1645,692,173
1660,697,129,,,,1733,740,45
1697,697,173,,,,1723,690,56
1702,722,196,,,,1747,728,113
1691,701,173,,,,1743,748,68
1659,703,132,,,,1761,699,120
1711,711,146,,,,1699,686,181
1677,689,83,,,,1691,697,175
1659,703,132,,,,1724,694,156
1676,656,186,,,,1743,741,144
1715,678,129,,,,1680,706,166
1691,642,198,,,,1665,721,217
1665,636,219,,,,1737,740,203
1662,670,176,,,,1742,701,250
1736,707,172,,,,1730,719,177
1711,696,258,,,,1723,759,193
1710,736,217,,,,1793,733,178
1759,678,254,,,,1739,724,164
1711,696,258,,,,1738,686,143
1755,704,262,,,,1727,739,157
1764,729,228,,,,1743,724,105
1739,695,301,,,,1698,686,179
1739,695,301,,,,1678,713,231
1769,691,275,,,,1736,708,184
1735,673,116,,,,1695,676,107
1728,684,110,,,,1698,678,108
1720,688,166,,,,1656,655,166
1735,673,116,,,,1684,692,161
1694,687,130,,,,1689,716,123
1651,718,188,,,,1679,688,90
1671,665,246,,,,1698,701,185
1729,697,158,,,,1679,689,153
1676,688,143,,,,1690,674,161
1676,689,205,,,,1664,638,167
1742,704,139,,,,1704,659,107
1708,707,158,,,,1684,714,114
1697,721,151,,,,1743,702,89
1697,721,151,,,,1713,730,72
1708,707,158,,,,1743,724,53
1740,693,195,,,,1727,701,139
1754,680,207,,,,1727,701,139
1757,705,228,,,,1729,719,179
1721,683,224,,,,1710,708,147
1748,682,201,,,,1666,726,158
1752,749,180,,,,1724,669,142
1713,726,177,,,,1726,633,188
1699,740,167,,,,1806,693,113
1680,730,196,,,,1755,650,144
1675,704,172,,,,1786,683,142
1701,705,258,,,,1771,697,124
1673,711,266,,,,1722,714,134
1680,701,270,,,,1737,700,145
1712,720,281,,,,1726,716,201
1712,699,315,,,,1712,729,126
1669,685,215,,,,1700,680,146
1674,710,177,,,,1758,713,121
1714,697,223,,,,1719,690,118
1682,699,181,,,,1743,702,89
1685,725,201,,,,1704,703,109
1728,650,215,,,,1750,729,114
1714,701,224,,,,1725,692,120
1721,690,230,,,,1765,715,124
1701,679,257,,,,1765,715,124
1689,691,186,,,,1730,717,81
1675,682,161,,,,1723,648,103
1671,712,234,,,,1729,687,124
1659,697,210,,,,1766,672,171
1654,679,235,,,,1706,675,151
1678,709,241,,,,1642,600,-26
1676,731,160,,,,1747,685,152
1722,713,149,,,,1751,752,131
1707.105,699.72,201.205,,,,1716.07,699.885,156.365
